student_name,linguistic_score,logical_math_score,spatial_score,bodily_kinesthetic_score,interpersonal_score,intrapersonal_score,emotional_regulation,engagement_frequency,generated_archetype
Brenda Alves,2.4805779639471943,2.0208477865901946,6.027266774607381,7.884021415153087,6.1870287294325985,4.755283483037098,3.2647041857715657,9.16682316928714,kinesthetic
Sra. Isabelly Câmara,4.405011485942835,8.799245255878057,9.482135193978634,2.0322871850470356,4.338057909470162,6.335215207492836,5.435990515393273,5.955384737873835,analytical
Cauã Rocha,8.946661530017378,6.060804313129929,6.431004793957095,5.263461125536507,8.635488659228862,4.869028402476015,5.91101915092104,7.776873886828168,communicative
Dra. Aurora Pastor,2.4115760459281868,3.98887454016835,6.873048096475415,8.987310496725742,5.1261497882619365,5.746873240244159,3.9704781599833465,8.613373530911923,kinesthetic
Ana Beatriz Alves,4.855463631985355,3.3146542715154976,6.153639293192025,8.252706828637999,6.106832723825826,5.8780241308955645,3.566486941350872,9.265361853435667,kinesthetic
Henrique da Conceição,5.37120843159364,4.935013637153777,4.531035701517363,6.406393061530035,5.117306715060901,4.277687525638013,6.310862883624772,7.994399613946232,balanced
Amanda Novais,2.9951432707680854,3.6707926195613134,6.065463486838052,8.420888277447085,6.735261186390215,5.767780364649079,3.2139138512575225,8.75735824495681,kinesthetic
Yago Leão,2.465527637085561,3.793633879629218,5.860032194643673,7.8954038724057245,6.429207874856322,5.28122561456717,3.0225449258953025,8.492704802684637,kinesthetic
Pietro Pastor,9.368716452665263,6.3797585863039625,5.979978433003885,6.654213039360229,9.61216603921385,6.44624824508149,6.008282095874704,7.450531014119872,communicative
André Teixeira,2.147909069539702,2.755820236516266,5.512390238272573,8.350422957611643,6.045319939917686,6.423754203485385,2.943600977552727,8.889201315060962,kinesthetic
Otávio Fernandes,8.551579531848096,4.419626746916903,5.248531684944997,5.884729955422707,7.532244205727114,6.479942983996963,7.2246006658749575,9.475009481357853,communicative
Eduardo Cunha,5.829245703255833,9.692580909479961,8.61893396576169,2.7303312231055683,2.5092778691672484,5.758024250809497,5.689458545167017,6.13633297790039,analytical
Sr. Caleb Garcia,6.128459184839891,6.0024368161227315,6.34955053579708,6.952517019829073,6.759643308353059,4.8120816252400775,3.9568630920784362,6.747455928991419,balanced
Luiz Henrique Ferreira,4.906497041267663,5.820187678485853,5.063909579152512,4.558415649935984,6.43317018256383,6.607324128242118,5.538791679418624,3.927166166284072,balanced
Julia Aparecida,5.5630044413980135,6.313443204322037,4.816870744980697,6.146687935823325,5.987752120661604,6.463433199680871,6.095664294731322,5.221544847294756,balanced
Sra. Zoe Campos,3.957257201331593,2.873176341578424,5.978156368392055,7.753385632741443,5.645374199046792,5.292157828778479,2.8616431520612617,9.869366784113875,kinesthetic
Anna Liz Novaes,1.902479085654915,1.709150881698607,7.176936261994887,8.332541058278506,5.464741809072066,6.831923749916861,2.515507568210509,9.96080777083755,kinesthetic
Luiz Miguel Oliveira,6.542340697071415,5.609670873483438,7.725846570612402,5.515428061597329,6.593676297607446,6.239434064325193,7.041393031519038,7.249208957381482,balanced
Bernardo Aparecida,3.0256033192526135,2.397265703723053,6.3679777143512935,7.957827704198315,7.610709798021299,6.10922826486619,2.707742758950313,8.647744244691927,kinesthetic
Heloísa Vargas,1.9222989683762428,2.222708769191479,6.96033112635554,7.974484576822883,5.162471213854448,6.429322202021829,3.9485633237303976,9.075162648532054,kinesthetic
Bruno da Conceição,6.796838148644653,7.894563929144431,7.362551466606525,4.201066921564389,2.7418561289262913,5.799333586835962,7.062555313479247,6.444984007520528,analytical
Mateus da Mota,8.864710217665285,7.732001875920867,5.485185415695885,6.74227210246499,8.545610499917668,6.214873823090605,7.222774741130025,8.906268605031698,communicative
Maria Clara Castro,3.430636863239706,3.8580058698478417,5.7080378163656915,7.828632266128794,5.164152644783173,4.426914728499199,4.644965703952257,7.617433307422654,kinesthetic
Dr. Gustavo Henrique Rios,2.8229971011313824,2.7785493600888636,6.2459253582472805,9.152589770031437,6.688378790687796,5.533538049144849,2.8663026289708706,8.72606396039064,kinesthetic
Brayan Pereira,2.801047099053162,4.285876460815994,6.392779961310601,9.087902228839853,6.53030501493393,6.93877908598826,3.1448172469629654,7.462534441635323,kinesthetic
Eloá Nascimento,3.3197503614021135,2.4789144849665368,5.577106654600194,8.969091215004074,6.990626457146909,6.017017261388849,3.247066410079171,9.86177195570819,kinesthetic
Srta. Elisa Martins,6.192602543590855,8.081346491344316,6.452407716505236,4.591389792675345,6.602673296883626,6.304926707906223,7.031802203266197,6.538545081015966,balanced
Júlia Porto,5.889235212812981,5.020561410968507,5.83278139417118,5.31958363663256,5.535581240156222,6.470862723536488,7.335923603481125,6.315737223858385,balanced
Dra. Hellena Rodrigues,5.043293550371852,6.355682134576113,6.957305189316521,5.512173676544494,5.892786266661666,6.011750555783357,5.3720813495342075,6.518624347075087,balanced
Sr. Ian Andrade,5.903241481113775,6.335625955125622,5.29000625775832,5.650033359741272,6.577905086262217,5.701733478326586,7.381571080986724,5.680291051508318,balanced
Dr. João Felipe Azevedo,6.179747780601509,6.746072665498472,4.865307413653575,4.591352950415379,4.779474948343924,7.010067282741746,5.558513483286043,8.046559428534602,balanced
Levi Cunha,5.54860192107409,8.64764104255763,9.7336879620543,4.604874310527299,4.649202861309118,6.9666929844745145,6.81925002064917,6.4740215593609465,analytical
Sara Gonçalves,9.12268886093331,5.559051426937173,5.345440893262154,5.997300434071239,8.363852301980057,5.6374175605381796,6.557109957965372,9.26424416685641,communicative
Natália Casa Grande,6.070725509033478,9.68202406484421,7.586648708693196,2.8450724325762256,2.426542143517756,4.506770706341552,5.933855451325841,5.9026019932933735,analytical
Davi Miguel da Cruz,7.210759794593705,6.504649347643822,5.180650540536636,7.483274053067351,6.9768269564202825,6.465678162774893,5.818812720920135,5.2324486106212165,balanced
Dra. Zoe da Luz,5.702234579143157,6.870998895763349,7.507669044747687,7.234594822617751,5.608920462570981,5.104306053368791,6.112708997528963,4.585248507549719,balanced
